pk_1,pk_2,pk_3,pk_4,pk_5,level_5,Data_source1_match,Data_source_2_match
175,1069,15,11072,101000883,data_1,3.0,3.0
175,1069,15,11072,102149906,data_1,14.0,14.0
175,1069,15,11072,102266511,data_1,3.0,3.0
175,1069,15,11072,108692512,data_1,6.0,6.0
175,1069,15,11072,116609959,data_1,3.0,3.0
175,1069,16,11134,101099669,data_1,291.0,291.0
175,1069,16,11134,101099687,data_1,293.0,293.0
175,1069,16,11134,104149970,data_1,7.0,7.0
175,1069,16,11134,109456413,data_1,23.0,23.0
175,1069,16,11134,119204250,data_1,39.0,39.0
175,1069,16,11134,121511896,data_1,12.0,12.0
175,1069,18,11740,119122548,data_1,17.0,17.0
175,1069,18,11740,119122699,data_1,32.0,32.0
175,1069,18,11740,119446424,data_1,5.0,5.0
175,1069,18,11740,121425094,data_1,43.0,43.0
175,1069,18,11740,121776075,data_1,5.0,5.0
175,1069,19,11253,101010411,data_1,17.0,17.0
175,1069,19,11253,101010510,data_1,57.0,57.0
175,1069,19,11253,101282911,data_1,76.0,76.0
175,1069,19,11253,109452183,data_1,40.0,40.0
175,1069,19,11253,109452191,data_1,6.0,6.0
175,1069,19,11253,109452205,data_1,1.0,1.0
175,1069,19,11253,109452906,data_1,14.0,14.0
175,1069,19,11253,109456855,data_1,3.0,3.0
175,1069,19,11253,109459072,data_1,7.0,7.0
175,1069,19,11253,109459080,data_1,37.0,37.0
175,1069,19,11253,109459089,data_1,20.0,20.0
175,1069,19,11253,109459102,data_1,21.0,21.0
175,1069,19,11253,109460469,data_1,25.0,25.0
175,1069,19,11253,109460488,data_1,6.0,6.0
175,1069,19,11253,109460499,data_1,8.0,8.0
175,1069,19,11253,109460518,data_1,17.0,17.0
175,1069,19,11253,109460526,data_1,12.0,12.0
175,1069,19,11253,109460550,data_1,12.0,12.0
175,1069,19,11253,109580246,data_1,13.0,13.0
175,1069,19,11253,109580297,data_1,3.0,3.0
175,1069,19,11253,109861547,data_1,32.0,32.0
175,1069,19,11253,114173160,data_1,7.0,7.0
175,1069,19,11253,114173306,data_1,46.0,46.0
175,1069,19,11253,114281149,data_1,2.0,2.0
175,1069,19,11253,114281206,data_1,20.0,20.0
175,1069,19,11253,116520639,data_1,16.0,16.0
175,1069,19,11253,116520666,data_1,20.0,20.0
175,1069,19,11253,120586799,data_1,9.0,9.0
175,1069,19,13732,109326617,data_1,43.0,43.0
175,1069,19,13732,119672696,data_1,3.0,3.0
175,1069,21,12151,109487106,data_1,6.0,6.0
175,1069,21,12151,111199878,data_1,5.0,5.0
175,1069,21,12151,111199932,data_1,4.0,4.0
175,1069,21,12151,111199967,data_1,24.0,24.0
175,1069,21,12151,116446979,data_1,6.0,6.0
175,1069,21,12151,121904039,data_1,4.0,4.0
175,1069,21,14567,101495976,data_1,6.0,6.0
175,1069,21,14567,120601174,data_1,3.0,3.0
175,1069,21,14567,120601279,data_1,3.0,3.0
175,1069,21,14567,120601298,data_1,4.0,4.0
175,1069,21,14567,120601344,data_1,6.0,6.0
175,1069,21,14567,120601395,data_1,4.0,4.0
175,1069,21,14567,120602952,data_1,5.0,5.0
175,1069,21,14567,120602987,data_1,10.0,10.0
175,1069,21,14567,120603002,data_1,4.0,4.0
175,1069,21,14567,120603159,data_1,69.0,69.0
175,1069,21,14567,120603207,data_1,21.0,21.0
175,1069,21,14567,120603274,data_1,10.0,10.0
175,1069,21,14567,120603428,data_1,5.0,5.0
175,1069,21,14567,122117067,data_1,1.0,1.0
175,1069,21,14567,122117075,data_1,3.0,3.0
175,1069,21,14567,122492097,data_1,3.0,3.0
175,1069,21,14567,122968129,data_1,2.0,2.0
175,1069,22,11001,100012105,data_1,21.0,21.0
175,1069,22,11002,100016208,data_1,1295.0,1295.0
175,1069,22,11010,100074186,data_1,15.0,15.0
175,1069,22,11010,103123382,data_1,6.0,6.0
175,1069,22,11043,105306158,data_1,3.0,3.0
175,1069,22,12208,102411295,data_1,22.0,22.0
175,1069,22,13656,122652930,data_1,9.0,9.0
175,1069,22,14605,121250375,data_1,11.0,11.0
175,1069,22,16139,100017468,data_1,11.0,11.0
175,1069,23,15599,101884328,data_1,1.0,1.0
175,1069,24,11137,102775068,data_1,13.0,13.0
175,1069,24,11137,102775343,data_1,40.0,40.0
175,1069,24,11137,103888125,data_1,6.0,6.0
175,1069,24,11137,108207193,data_1,3.0,3.0
175,1069,24,11137,111668444,data_1,45.0,45.0
175,1069,24,12089,111671615,data_1,4.0,4.0
175,1069,25,11132,104213512,data_1,4.0,4.0
175,1069,25,11415,118709464,data_1,16.0,16.0
175,1069,26,11069,109355145,data_1,7.0,7.0
175,1069,26,11069,109355153,data_1,4.0,4.0
175,1069,26,11069,109356915,data_1,36.0,36.0
175,1069,26,11069,115633491,data_1,17.0,17.0
175,1069,26,11516,108096375,data_1,33.0,33.0
175,1069,27,12081,102112387,data_1,5.0,5.0
175,1069,27,14015,101369114,data_1,8.0,8.0
175,1069,30,13731,101112266,data_1,12.0,12.0
175,1069,30,13731,101112324,data_1,3.0,3.0
175,1069,30,13731,101112332,data_1,5.0,5.0
175,1069,30,13731,101114767,data_1,86.0,86.0
175,1069,30,13731,101735504,data_1,9.0,9.0
175,1069,30,13731,101826832,data_1,10.0,10.0
175,1069,30,13731,101826840,data_1,27.0,27.0
175,1069,30,13731,101826857,data_1,2.0,2.0
175,1069,30,13731,101826865,data_1,3.0,3.0
175,1069,30,13731,109284566,data_1,11.0,11.0
175,1069,30,13731,109286364,data_1,11.0,11.0
175,1069,30,13731,109286917,data_1,13.0,13.0
175,1069,30,13731,109288731,data_1,17.0,17.0
175,1069,30,13731,109288774,data_1,6.0,6.0
175,1069,30,13731,109288829,data_1,17.0,17.0
175,1069,30,13731,109288847,data_1,16.0,16.0
175,1069,30,13731,109288944,data_1,10.0,10.0
175,1069,30,13731,109288952,data_1,3.0,3.0
175,1069,30,13731,109289010,data_1,12.0,12.0
175,1069,30,13731,109289099,data_1,7.0,7.0
175,1069,30,13731,109289150,data_1,5.0,5.0
175,1069,30,13731,109289312,data_1,13.0,13.0
175,1069,30,13731,109289329,data_1,13.0,13.0
175,1069,30,13731,109289401,data_1,6.0,6.0
175,1069,30,13731,109289444,data_1,12.0,12.0
175,1069,30,13731,109289460,data_1,9.0,9.0
175,1069,30,13731,109289499,data_1,14.0,14.0
175,1069,30,13731,109289533,data_1,4.0,4.0
175,1069,30,13731,109289622,data_1,17.0,17.0
175,1069,30,13731,109289665,data_1,16.0,16.0
175,1069,30,13731,109289681,data_1,8.0,8.0
175,1069,30,13731,109289689,data_1,18.0,18.0
175,1069,30,13731,109289711,data_1,5.0,5.0
175,1069,30,13731,109826269,data_1,3.0,3.0
175,1069,30,13731,109826318,data_1,22.0,22.0
175,1069,30,13731,112957669,data_1,3.0,3.0
175,1069,30,13731,112957699,data_1,5.0,5.0
175,1069,30,13731,112957741,data_1,3.0,3.0
