pk_1,pk_2,pk_3,pk_4,pk_5,level_5,Data_source1_mismatch,Data_source_2_mismatch
175,1069,15,11072,114110940,data_1,59.0,56.0
175,1069,18,11740,119446394,data_1,56.0,55.0
175,1069,18,11740,119446449,data_1,979.0,973.0
175,1069,21,14567,120590839,data_1,22.0,19.0
175,1069,22,11002,106148025,data_1,649.0,643.0
175,1069,22,11015,105307383,data_1,8.0,2.0
175,1069,22,11051,113140029,data_1,14.0,2.0
175,1069,22,16140,101058840,data_1,222.0,218.0
175,1069,30,13731,122069224,data_1,120.0,119.0
175,1069,30,13731,122069372,data_1,10.0,9.0
175,1069,30,13731,122069380,data_1,222.0,220.0
175,1069,30,13731,122756825,data_1,87.0,86.0
175,1069,30,13731,123069082,data_1,65.0,62.0
175,1069,31,14041,109693997,data_1,78.0,77.0
175,1069,32,11688,122905969,data_1,6.0,5.0
175,1069,34,12225,105028883,data_1,600.0,599.0
175,1069,34,12245,103066818,data_1,239.0,238.0
175,1069,34,12948,116283397,data_1,2376.0,2324.0
175,1069,34,14771,122754148,data_1,1141.0,1119.0
175,1069,34,15359,101079366,data_1,523.0,518.0
175,1069,39,14789,122923977,data_1,352.0,351.0
182,1069,15,11072,114110754,data_1,32.0,35.0
182,1069,16,11134,101099669,data_1,70.0,69.0
182,1069,16,11134,101099687,data_1,20.0,19.0
182,1069,16,11134,119204250,data_1,7.0,10.0
182,1069,17,11064,111721140,data_1,14.0,17.0
182,1069,17,11064,114048218,data_1,18.0,17.0
182,1069,17,11064,116738521,data_1,8.0,6.0
182,1069,17,11064,120042229,data_1,16.0,15.0
182,1069,18,11740,119446394,data_1,17.0,20.0
182,1069,18,11740,119446449,data_1,610.0,600.0
182,1069,18,11740,119446475,data_1,4.0,3.0
182,1069,19,11253,101282911,data_1,7.0,6.0
182,1069,19,11253,109452906,data_1,4.0,7.0
182,1069,21,12151,111199843,data_1,6.0,9.0
182,1069,21,12151,111199878,data_1,12.0,10.0
182,1069,21,12151,111199967,data_1,7.0,11.0
182,1069,21,12151,121904039,data_1,4.0,5.0
182,1069,23,14412,101860393,data_1,12.0,11.0
182,1069,23,15530,121765707,data_1,10.0,9.0
182,1069,26,11516,108096340,data_1,14.0,13.0
182,1069,45,12111,101798296,data_1,2.0,1.0
182,1869,15,11072,114110754,data_1,24.0,21.0
182,1869,16,11134,109456413,data_1,3.0,6.0
182,1869,16,11134,119204250,data_1,51.0,48.0
182,1869,17,11064,111721140,data_1,35.0,32.0
182,1869,18,11740,119446394,data_1,91.0,88.0
182,1869,18,11740,119446449,data_1,1777.0,1744.0
182,1869,19,11253,109452906,data_1,6.0,3.0
182,1869,20,11131,120468889,data_1,2.0,5.0
182,1869,21,12151,111199843,data_1,12.0,9.0
182,1869,21,12151,111199967,data_1,51.0,45.0
196,10297,19,11253,109580297,data_1,76.0,70.0
196,10297,19,11253,114173306,data_1,62.0,73.0
196,10297,24,11070,104788679,data_1,12.0,14.0
196,10297,24,11137,111668444,data_1,3.0,2.0
196,10297,32,13291,104125621,data_1,67.0,73.0
196,10297,32,13291,108602114,data_1,72.0,69.0
196,10298,17,11064,111721140,data_1,48.0,42.0
196,10298,17,11064,114048218,data_1,39.0,36.0
196,10298,17,11064,120042229,data_1,175.0,172.0
196,10298,17,11064,122659706,data_1,33.0,30.0
196,10298,17,11064,122967567,data_1,9.0,6.0
196,10298,19,11253,109580297,data_1,421.0,394.0
196,10298,19,11253,114173306,data_1,378.0,348.0
196,10298,21,12151,111199967,data_1,24.0,21.0
196,10298,22,11002,109602134,data_1,348.0,336.0
196,10298,22,11007,100012024,data_1,2412.0,2400.0
196,10298,22,11007,100012839,data_1,11364.0,11172.0
196,10298,22,11010,100074232,data_1,13990.0,13810.0
196,10298,22,11010,103123382,data_1,264.0,252.0
196,10298,22,11013,100012911,data_1,4488.0,4440.0
196,10298,22,11015,105046695,data_1,384.0,372.0
196,10298,22,11015,105307383,data_1,1308.0,1272.0
196,10298,22,11015,109774121,data_1,162.0,156.0
196,10298,22,11016,106139573,data_1,1200.0,1152.0
196,10298,22,11016,122297138,data_1,90.0,84.0
196,10298,22,11039,100012741,data_1,552.0,540.0
196,10298,22,11041,100016499,data_1,492.0,480.0
196,10298,22,11051,105000318,data_1,2472.0,2448.0
196,10298,22,12182,102291257,data_1,216.0,192.0
196,10298,22,12198,102091851,data_1,276.0,264.0
196,10298,22,12208,102411295,data_1,1044.0,1020.0
196,10298,22,12210,108181585,data_1,480.0,468.0
196,10298,22,12216,106139279,data_1,228.0,192.0
196,10298,22,12283,105076365,data_1,672.0,648.0
196,10298,22,12285,113079594,data_1,348.0,342.0
196,10298,22,13036,106140105,data_1,18.0,6.0
196,10298,22,14605,121250375,data_1,2178.0,2166.0
196,10298,22,15770,118199407,data_1,444.0,432.0
196,10298,23,12203,100073600,data_1,1494.0,1488.0
196,10298,23,12203,120257031,data_1,318.0,312.0
196,10298,23,14412,101860393,data_1,414.0,408.0
196,10298,23,14412,116885540,data_1,30.0,24.0
196,10298,23,15531,108988314,data_1,696.0,690.0
196,10298,24,11045,102314141,data_1,39.0,36.0
196,10298,24,11070,104788679,data_1,120.0,117.0
196,10298,24,11137,111668444,data_1,226.0,223.0
196,10298,30,13731,112537589,data_1,9.0,6.0
196,10298,30,13731,122949216,data_1,18.0,15.0
196,10298,32,13291,104125621,data_1,498.0,468.0
196,10298,32,13291,108602114,data_1,219.0,201.0
196,10298,34,11045,101003507,data_1,700.0,650.0
196,10298,34,12232,103391328,data_1,400.0,350.0
196,10298,34,12238,103479109,data_1,450.0,1200.0
196,10298,34,12238,105102544,data_1,200.0,750.0
196,10298,34,12238,105321912,data_1,312.0,672.0
196,10298,34,12959,102699787,data_1,150.0,250.0
196,10298,38,11299,102014458,data_1,44.0,33.0
196,10298,38,11299,102216808,data_1,13100.0,12850.0
196,10298,38,11299,121778493,data_1,620.0,600.0
196,10298,38,14621,103311162,data_1,2900.0,2860.0
196,10298,108,11179,106721194,data_1,850.0,800.0
196,10299,17,11064,101515765,data_1,7.0,6.0
196,10299,17,11064,103217263,data_1,8.0,7.0
196,10299,17,11064,111721140,data_1,5.0,7.0
196,10299,17,11064,112481674,data_1,5.0,8.0
196,10299,17,11064,113523273,data_1,3.0,2.0
196,10299,17,11064,120042140,data_1,14.0,13.0
196,10299,17,11064,120042229,data_1,11.0,14.0
196,10299,17,11064,122659706,data_1,5.0,8.0
196,10299,17,11064,122661247,data_1,7.0,5.0
196,10299,19,11253,109580297,data_1,11.0,17.0
196,10299,19,11253,114173306,data_1,13.0,16.0
196,10299,22,11007,100012024,data_1,155.0,149.0
196,10299,22,11007,100012839,data_1,286.0,301.0
196,10299,22,11010,100074232,data_1,443.0,398.0
196,10299,22,11010,102179120,data_1,9.0,7.0
196,10299,22,11013,100012911,data_1,96.0,95.0
196,10299,22,11015,105046695,data_1,34.0,33.0
196,10299,22,11015,105307383,data_1,35.0,46.0
196,10299,22,11016,106139573,data_1,90.0,88.0
196,10299,22,11016,122297138,data_1,9.0,15.0
196,10299,22,11039,100012741,data_1,40.0,38.0
196,10299,22,11039,102459387,data_1,55.0,53.0
196,10299,22,11041,100016499,data_1,62.0,58.0
196,10299,22,11051,105000318,data_1,138.0,144.0
196,10299,22,11051,113140029,data_1,68.0,67.0
196,10299,22,11128,108044960,data_1,55.0,54.0
196,10299,22,12194,103192961,data_1,26.0,24.0
196,10299,22,12198,102091851,data_1,18.0,17.0
196,10299,22,12207,102939796,data_1,12.0,10.0
196,10299,22,12208,102411295,data_1,23.0,21.0
196,10299,22,12210,108181585,data_1,27.0,26.0
196,10299,22,12216,106139279,data_1,46.0,43.0
196,10299,22,12274,113110602,data_1,13.0,12.0
196,10299,22,12283,105076365,data_1,67.0,73.0
196,10299,22,12283,122633685,data_1,30.0,28.0
196,10299,22,12285,113079594,data_1,6.0,11.0
196,10299,22,13036,106140105,data_1,9.0,8.0
196,10299,22,13656,122652930,data_1,25.0,24.0
196,10299,22,13906,112235088,data_1,10.0,8.0
196,10299,22,14605,121250375,data_1,79.0,78.0
196,10299,22,14605,121250413,data_1,23.0,21.0
196,10299,22,15685,100073341,data_1,15.0,13.0
196,10299,22,15770,118199407,data_1,75.0,72.0
196,10299,23,12203,100073600,data_1,20.0,17.0
196,10299,23,12203,120257031,data_1,16.0,15.0
196,10299,24,11045,102318368,data_1,18.0,17.0
196,10299,24,11137,101052652,data_1,12.0,11.0
196,10299,24,11137,103888133,data_1,2.0,1.0
196,10299,32,13291,104125621,data_1,31.0,29.0
196,10299,32,13291,108602114,data_1,32.0,29.0
196,10299,34,11045,101003507,data_1,63.0,58.0
196,10299,34,11045,120399545,data_1,28.0,26.0
196,10299,34,12232,103391328,data_1,32.0,26.0
196,10299,34,12232,105026651,data_1,84.0,72.0
196,10299,34,12238,103479109,data_1,124.0,106.0
196,10299,34,12238,105000032,data_1,47.0,44.0
196,10299,34,12238,105102544,data_1,132.0,126.0
196,10299,34,12238,105321912,data_1,87.0,78.0
196,10299,34,12238,108045061,data_1,65.0,61.0
196,10299,34,12243,120748477,data_1,44.0,42.0
196,10299,34,13977,108661706,data_1,7.0,4.0
196,10299,34,13977,108661722,data_1,45.0,42.0
196,10299,34,14153,113104548,data_1,53.0,44.0
196,10299,34,14153,113104637,data_1,52.0,51.0
196,10299,34,14309,116336814,data_1,38.0,32.0
196,10299,34,14790,122922609,data_1,37.0,35.0
196,10299,34,14976,101237808,data_1,18.0,16.0
196,10299,38,11090,102122293,data_1,12.0,2.0
196,10299,38,11090,102387726,data_1,50.0,44.0
196,10299,38,11299,102014458,data_1,28.0,26.0
196,10299,38,11299,102216808,data_1,593.0,567.0
196,10299,38,11299,102671157,data_1,83.0,73.0
196,10299,38,11299,116213763,data_1,75.0,70.0
196,10299,38,11299,121778493,data_1,56.0,73.0
196,10299,38,11299,122189742,data_1,59.0,58.0
196,10299,38,14621,103311162,data_1,487.0,499.0
196,10299,41,13263,103310360,data_1,4.0,3.0
196,10299,51,15332,119716065,data_1,14.0,13.0
196,10299,81,11270,116235252,data_1,1.0,3.0
196,10300,19,11253,109580297,data_1,18.0,14.0
196,10300,19,11253,114173306,data_1,12.0,8.0
196,10300,22,11007,100012024,data_1,64.0,68.0
196,10300,22,11007,100012839,data_1,91.0,79.0
196,10300,22,11010,100074232,data_1,43.0,52.0
196,10300,22,11013,100012911,data_1,76.0,70.0
196,10300,22,11015,105307383,data_1,39.0,49.0
196,10300,22,11016,105336421,data_1,36.0,35.0
196,10300,22,11016,106139573,data_1,50.0,45.0
196,10300,22,11016,122297138,data_1,7.0,6.0
196,10300,22,11042,100012040,data_1,12.0,11.0
196,10300,22,11051,105000318,data_1,45.0,42.0
196,10300,22,11128,108044960,data_1,20.0,19.0
196,10300,22,12182,102291257,data_1,13.0,12.0
196,10300,22,12194,103192961,data_1,13.0,12.0
196,10300,22,12198,102091851,data_1,20.0,17.0
196,10300,22,12198,119943525,data_1,15.0,14.0
196,10300,22,12208,102411295,data_1,32.0,30.0
196,10300,22,12210,108181585,data_1,31.0,41.0
196,10300,22,12216,106139279,data_1,47.0,45.0
196,10300,22,12283,105076365,data_1,31.0,30.0
196,10300,22,12283,105323745,data_1,14.0,12.0
196,10300,22,12283,115417314,data_1,10.0,9.0
196,10300,22,12283,116203296,data_1,9.0,8.0
196,10300,22,12283,122633685,data_1,16.0,15.0
196,10300,22,14605,121250375,data_1,65.0,59.0
196,10300,22,14605,121250413,data_1,20.0,19.0
196,10300,23,12268,108672953,data_1,5.0,13.0
196,10300,23,14412,116885540,data_1,8.0,6.0
196,10300,23,15599,101884328,data_1,7.0,6.0
196,10300,32,13291,104125621,data_1,9.0,8.0
196,10300,38,11090,102387726,data_1,11.0,10.0
196,10300,38,11299,121778493,data_1,12.0,11.0
196,10300,38,14621,103311162,data_1,77.0,75.0
196,10301,32,13291,108602114,data_1,8.0,7.0
196,10308,22,11007,100012024,data_1,24.0,20.0
196,10308,22,11007,100012839,data_1,96.0,98.0
196,10308,22,11010,100074232,data_1,50.0,58.0
196,10308,22,11013,100012911,data_1,31.0,28.0
196,10308,22,11015,105046695,data_1,5.0,4.0
196,10308,22,11015,105307383,data_1,16.0,15.0
196,10308,22,11016,106139573,data_1,18.0,17.0
196,10308,22,11039,102459387,data_1,123.0,122.0
196,10308,22,11041,100016499,data_1,24.0,23.0
196,10308,22,11051,105000318,data_1,36.0,28.0
196,10308,22,11051,113140029,data_1,12.0,11.0
196,10308,22,12182,102291257,data_1,13.0,12.0
196,10308,22,12194,103192961,data_1,12.0,8.0
196,10308,22,12208,102411295,data_1,13.0,11.0
196,10308,22,12216,106139279,data_1,10.0,9.0
196,10308,22,12283,105076365,data_1,11.0,9.0
196,10308,22,12283,115417314,data_1,6.0,3.0
196,10308,22,13036,106140105,data_1,5.0,4.0
196,10308,22,13656,122652930,data_1,5.0,4.0
196,10308,22,14605,121250375,data_1,10.0,7.0
196,10308,23,12272,103937134,data_1,6.0,4.0
196,10308,34,11045,101003507,data_1,20.0,15.0
196,10308,34,11045,120399545,data_1,53.0,50.0
196,10308,34,12232,103391328,data_1,59.0,51.0
196,10308,34,12232,105026651,data_1,69.0,57.0
196,10308,34,12238,103479109,data_1,44.0,89.0
196,10308,34,12238,105102544,data_1,68.0,64.0
196,10308,34,12238,105321912,data_1,47.0,43.0
196,10308,34,12243,120748477,data_1,51.0,48.0
196,10308,34,12959,102699787,data_1,17.0,16.0
196,10308,34,14153,113104637,data_1,21.0,16.0
196,10308,34,14976,101237808,data_1,12.0,8.0
196,10310,23,13849,119453021,data_1,7.0,6.0
196,10310,32,13291,104125621,data_1,5.0,8.0
196,10310,34,12230,103502774,data_1,95.0,94.0
196,10310,34,12232,105026651,data_1,71.0,64.0
196,10310,34,12238,103479109,data_1,96.0,95.0
196,10319,22,11002,106148025,data_1,15.0,14.0
196,10319,22,11007,100012024,data_1,34.0,29.0
196,10319,22,11007,100012839,data_1,51.0,49.0
196,10319,22,11010,100074232,data_1,29.0,41.0
196,10319,22,11013,100012911,data_1,32.0,29.0
196,10319,22,11015,105046695,data_1,14.0,13.0
196,10319,22,11016,105336421,data_1,24.0,23.0
196,10319,22,11016,106139573,data_1,29.0,38.0
196,10319,22,11016,122297138,data_1,8.0,7.0
196,10319,22,11039,100012741,data_1,16.0,25.0
196,10319,22,11041,100016499,data_1,34.0,33.0
196,10319,22,11041,102973188,data_1,5.0,4.0
196,10319,22,11051,105000318,data_1,32.0,31.0
196,10319,22,11051,113140029,data_1,21.0,18.0
196,10319,22,12208,102411295,data_1,22.0,33.0
196,10319,22,12283,105076365,data_1,26.0,22.0
196,10319,22,13656,122652930,data_1,13.0,11.0
196,10319,22,14605,121250375,data_1,21.0,28.0
196,10319,22,14685,122078541,data_1,7.0,6.0
196,10319,22,14742,122555730,data_1,6.0,5.0
196,10319,23,12203,100073600,data_1,11.0,10.0
196,10319,23,12268,108672953,data_1,8.0,6.0
196,10319,23,14412,101860393,data_1,6.0,4.0
196,10319,23,14412,116885379,data_1,11.0,9.0
196,10319,23,14412,116885540,data_1,4.0,10.0
196,10319,23,14648,121773513,data_1,6.0,5.0
196,10319,23,15531,108988314,data_1,5.0,11.0
196,10319,32,13291,104125621,data_1,10.0,6.0
196,10319,38,11090,102387726,data_1,9.0,6.0
196,10319,38,11299,102216808,data_1,30.0,29.0
196,10319,38,11299,122189742,data_1,10.0,9.0
196,10319,38,14621,103311162,data_1,17.0,13.0
196,10320,22,11007,100012839,data_1,53.0,48.0
196,10320,22,11039,100012741,data_1,-2.0,4.0
196,10320,22,11039,102459387,data_1,20.0,19.0
196,10320,22,11051,105000318,data_1,3.0,1.0
196,10320,22,12208,102411295,data_1,2.0,5.0
196,10320,22,12283,105076365,data_1,2.0,5.0
196,10320,34,12232,105026651,data_1,31.0,4.0
196,10320,34,12238,103479109,data_1,30.0,29.0
196,10320,34,12238,105102544,data_1,48.0,47.0
196,10320,34,12238,105321912,data_1,18.0,15.0
