pk_1,pk_2,pk_3,pk_4,pk_5,data_1,data_2
175,1069,30,13731,122949216,1,18.73
182,1069,21,14567,120601174,2,56.22
182,1869,21,12151,121904039,1,72.8
196,10298,15,11072,102266511,3,643.48
196,10298,17,11064,112481674,6,1186.41
196,10298,22,11001,100012105,12,1290.62
196,10298,23,12268,108672953,12,648.0
196,10298,26,11069,109355145,3,149.85
196,10298,30,13731,112957792,3,142.69
196,10334,34,12230,103502774,1,32.55
215,972,27,12081,122366407,1,9.37
215,972,30,13731,101826857,3,40.13
215,972,30,13731,122888632,2,16.0
215,1069,83,11019,101345106,1,2804.32
223,1045,32,11688,122871217,1,4104.0
223,1046,13,11259,119459925,1,483085.0
223,1046,13,11259,123060697,1,207867.0
223,1509,15,11072,101000883,1,4392.0
223,1578,16,11134,119203998,1,2560.0
223,1578,21,12151,111199940,3,17413.0
223,1578,21,12151,121904039,1,8389.0
223,1578,30,13731,109286917,1,1000.0
223,1578,32,11688,122905448,1,1370.0
223,1584,85,13594,115030379,1,106326.0
223,1639,17,11064,114048218,3,5400.0
223,1639,30,13731,122756868,3,3541.0
223,1639,30,13731,122756973,3,3541.0
233,1522,13,11259,101856235,1,13586.25
235,1171,16,11134,101099687,1,183.58
235,1171,27,11109,119550256,1,63.1
235,1171,41,13263,103310360,1,220.92
235,1171,45,12111,101798296,1,1513.52
235,1175,30,13731,122756868,2,155.45
235,1175,41,13263,103657085,3,753.78
236,1012,23,14648,121773661,1,28.38
236,1016,22,11044,100013109,2,33.31
236,1055,27,14015,101369114,12,206.14
236,1058,34,14976,101237808,50,529.43
236,1303,68,12464,101950368,1,1006.45
236,1303,68,12464,101950483,1,968.73
236,1303,68,12464,101950616,1,981.62
236,1380,23,14412,101860393,4,60.1
236,1582,23,14412,116885379,14,174.46
236,1582,23,15531,108988314,2,22.95
240,1036,85,13594,113942187,1,1613.38
240,1036,85,13594,113942314,1,1613.38
244,10081,19,11253,114281099,1,8.06
244,10081,24,11137,102775343,1,30.76
244,10081,44,11163,101015699,1,30.28
