pk_1,pk_2,pk_3,pk_4,pk_5,data_1,data_2
182,1069,16,11134,109456413,3,55.85
182,1069,23,14412,101860359,-1,-38.04
182,1869,31,14041,109693997,117,12672.83
182,1869,31,14041,109694012,18,1087.74
196,10298,34,12238,105000032,100,6868.0
196,10298,34,12238,108045061,100,6868.0
196,10299,22,11015,109774121,6,291.52
196,10299,79,11025,119338656,1,1940.0
196,10320,22,11016,105336421,6,131.37
196,10320,22,15770,118199407,6,80.06
196,10320,34,14153,113104548,-1,-24.0
196,10320,34,14153,113104637,-3,-72.0
196,10322,30,13731,123069179,3,100.16
196,10322,79,11025,119338656,1,1940.0
215,972,30,13731,123069287,135,1111.44
215,985,30,13731,123069287,528,4341.19
215,1002,22,16140,101058840,-1,-61.54
215,1002,30,13731,120007399,-1,-7.56
215,1002,30,13731,123069287,3,24.67
223,1046,21,12151,111199940,3,17413.0
223,1046,32,11688,122871217,1,4104.0
223,1578,13,11259,119459899,1,194946.0
223,1578,17,11064,114048218,3,5400.0
223,1639,39,14789,122924108,20,92931.0
227,969,83,11019,114771610,1,4955.63
233,1472,22,11002,100016208,-1,-1144.87
233,1546,30,13731,123069179,23,1840.63
235,1366,18,11740,119122548,3,1127.2
235,1366,18,11740,119122699,3,836.91
235,1366,18,11740,121425094,2,616.7
235,1366,24,11137,102775343,3,710.52
235,1366,24,12089,111671615,2,503.46
235,1366,30,13731,123069179,2,156.55
236,986,26,11069,109355145,6,96.71
236,1041,24,11045,108235413,3,90.76
236,1050,68,12464,101950368,1,1006.46
236,1050,68,12464,101950483,1,1014.59
236,1050,68,12464,101950616,1,981.62
236,1119,22,11007,103563943,6,771.85
236,1383,22,11016,106139573,20,142.5
236,1384,22,12283,105076365,12,158.56
236,1385,22,11007,114605099,-2,0.0
236,1583,22,14742,122555730,6,156.17
236,1769,30,13731,123069179,6,68.98
238,993,56,11163,101609857,1,44.24
238,1015,30,13731,123069179,7,93.5
240,1036,16,11134,109456413,21,560.7
240,1068,23,15458,118732938,1,28.35
244,10081,30,13731,123069179,2,16.79
