pk_1,pk_2,pk_3,pk_4,pk_5,level_5,Data_source1_match,Data_source_2_match
175,1069,15,11072,101000883,data_1,3.0,3.0
175,1069,15,11072,101000883,data_2,141.17,141.17
175,1069,15,11072,102149906,data_1,14.0,14.0
175,1069,15,11072,102149906,data_2,655.13,655.13
175,1069,15,11072,102266511,data_1,3.0,3.0
175,1069,15,11072,102266511,data_2,179.01,179.01
175,1069,15,11072,108692512,data_1,6.0,6.0
175,1069,15,11072,108692512,data_2,360.79,360.79
175,1069,15,11072,116609959,data_1,3.0,3.0
175,1069,15,11072,116609959,data_2,190.3,190.3
175,1069,16,11134,101099669,data_1,291.0,291.0
175,1069,16,11134,101099669,data_2,6811.33,6811.33
175,1069,16,11134,101099687,data_1,293.0,293.0
175,1069,16,11134,101099687,data_2,6838.29,6838.29
175,1069,16,11134,104149970,data_1,7.0,7.0
175,1069,16,11134,104149970,data_2,232.83,232.83
175,1069,16,11134,109456413,data_1,23.0,23.0
175,1069,16,11134,109456413,data_2,457.58,457.58
175,1069,16,11134,119204250,data_1,39.0,39.0
175,1069,16,11134,119204250,data_2,1501.3,1501.3
175,1069,16,11134,121511896,data_1,12.0,12.0
175,1069,16,11134,121511896,data_2,397.86,397.86
175,1069,18,11740,119122548,data_1,17.0,17.0
175,1069,18,11740,119122548,data_2,728.5,728.5
175,1069,18,11740,119122699,data_1,32.0,32.0
175,1069,18,11740,119122699,data_2,1062.07,1062.07
175,1069,18,11740,119446424,data_1,5.0,5.0
175,1069,18,11740,119446424,data_2,104.95,104.95
175,1069,18,11740,121425094,data_1,43.0,43.0
175,1069,18,11740,121425094,data_2,1599.52,1599.52
175,1069,18,11740,121776075,data_1,5.0,5.0
175,1069,18,11740,121776075,data_2,212.75,212.75
175,1069,19,11253,101010411,data_1,17.0,17.0
175,1069,19,11253,101010411,data_2,207.68,207.68
175,1069,19,11253,101010510,data_1,57.0,57.0
175,1069,19,11253,101010510,data_2,697.39,697.39
175,1069,19,11253,101282911,data_1,76.0,76.0
175,1069,19,11253,101282911,data_2,1368.81,1368.81
175,1069,19,11253,109452183,data_1,40.0,40.0
175,1069,19,11253,109452183,data_2,728.54,728.54
175,1069,19,11253,109452191,data_1,6.0,6.0
175,1069,19,11253,109452191,data_2,110.31,110.31
175,1069,19,11253,109452205,data_1,1.0,1.0
175,1069,19,11253,109452205,data_2,18.38,18.38
175,1069,19,11253,109452906,data_1,14.0,14.0
175,1069,19,11253,109452906,data_2,187.66,187.66
175,1069,19,11253,109456855,data_1,3.0,3.0
175,1069,19,11253,109456855,data_2,52.21,52.21
175,1069,19,11253,109459072,data_1,7.0,7.0
175,1069,19,11253,109459072,data_2,137.43,137.43
175,1069,19,11253,109459080,data_1,37.0,37.0
175,1069,19,11253,109459080,data_2,724.61,724.61
175,1069,19,11253,109459089,data_1,20.0,20.0
175,1069,19,11253,109459089,data_2,392.95,392.95
175,1069,19,11253,109459102,data_1,21.0,21.0
175,1069,19,11253,109459102,data_2,412.97,412.97
175,1069,19,11253,109460469,data_1,25.0,25.0
175,1069,19,11253,109460469,data_2,462.79,462.79
175,1069,19,11253,109460488,data_1,6.0,6.0
175,1069,19,11253,109460488,data_2,113.18,113.18
175,1069,19,11253,109460499,data_1,8.0,8.0
175,1069,19,11253,109460499,data_2,149.3,149.3
175,1069,19,11253,109460518,data_1,17.0,17.0
175,1069,19,11253,109460518,data_2,330.97,330.97
175,1069,19,11253,109460526,data_1,12.0,12.0
175,1069,19,11253,109460526,data_2,228.37,228.37
175,1069,19,11253,109460550,data_1,12.0,12.0
175,1069,19,11253,109460550,data_2,234.53,234.53
